ano,mes,faixa,sexo,grupo,subgrupo,obitos
2013,1.0,0-9,F,circulatorio,cardiomiopatia_i42_i43,6
2013,1.0,0-9,F,circulatorio,cardiopatia_mal_definida_i51,1
2013,1.0,0-9,F,circulatorio,cerebrovascular_i60_i69,6
2013,1.0,0-9,F,circulatorio,circulatorio_outras,5
2013,1.0,0-9,F,circulatorio,insuf_cardiaca_i50,1
2013,1.0,0-9,F,circulatorio,miocardite_i40_i41,3
2013,1.0,0-9,F,circulatorio,trombose_venosa_i80_i82,1
2013,1.0,0-9,F,digestivo,,12
2013,1.0,0-9,F,endocrino_diabetes,,28
2013,1.0,0-9,F,endocrino_diabetes,diabetes_e10_e14,2
2013,1.0,0-9,F,externas,,137
2013,1.0,0-9,F,geniturinario,,9
2013,1.0,0-9,F,infecciosas,,82
2013,1.0,0-9,F,infecciosas,sepse_a40_a41,26
2013,1.0,0-9,F,mal_definidas,,53
2013,1.0,0-9,F,neoplasias,cancer_hematologico_c81_c96,16
2013,1.0,0-9,F,neoplasias,cancer_outros_c00_c97,35
2013,1.0,0-9,F,neoplasias,neoplasia_in_situ_benigna_d00_d48,1
2013,1.0,0-9,F,neuro_mentais,,52
2013,1.0,0-9,F,outras,,1236
2013,1.0,0-9,F,respiratorio,,37
2013,1.0,0-9,F,respiratorio,pneumonia_j12_j18,88
2013,1.0,0-9,I,outras,,21
2013,1.0,0-9,M,circulatorio,cardiomiopatia_i42_i43,8
2013,1.0,0-9,M,circulatorio,cerebrovascular_i60_i69,6
2013,1.0,0-9,M,circulatorio,circulatorio_outras,3
2013,1.0,0-9,M,circulatorio,embolia_pulmonar_i26,1
2013,1.0,0-9,M,circulatorio,insuf_cardiaca_i50,5
2013,1.0,0-9,M,circulatorio,miocardite_i40_i41,1
2013,1.0,0-9,M,circulatorio,trombose_venosa_i80_i82,2
2013,1.0,0-9,M,digestivo,,20
2013,1.0,0-9,M,endocrino_diabetes,,32
2013,1.0,0-9,M,externas,,215
2013,1.0,0-9,M,geniturinario,,9
2013,1.0,0-9,M,infecciosas,,85
2013,1.0,0-9,M,infecciosas,sepse_a40_a41,43
2013,1.0,0-9,M,mal_definidas,,80
2013,1.0,0-9,M,neoplasias,cancer_hematologico_c81_c96,25
2013,1.0,0-9,M,neoplasias,cancer_outros_c00_c97,45
2013,1.0,0-9,M,neoplasias,neoplasia_in_situ_benigna_d00_d48,4
2013,1.0,0-9,M,neuro_mentais,,53
2013,1.0,0-9,M,outras,,1515
2013,1.0,0-9,M,respiratorio,,51
2013,1.0,0-9,M,respiratorio,pneumonia_j12_j18,84
2013,1.0,10-19,F,circulatorio,cardiomiopatia_i42_i43,1
2013,1.0,10-19,F,circulatorio,cardiopatia_mal_definida_i51,2
2013,1.0,10-19,F,circulatorio,cerebrovascular_i60_i69,11
2013,1.0,10-19,F,circulatorio,circulatorio_outras,5
2013,1.0,10-19,F,circulatorio,embolia_pulmonar_i26,5
2013,1.0,10-19,F,circulatorio,infarto_agudo_i21_i22,2
2013,1.0,10-19,F,circulatorio,insuf_cardiaca_i50,1
2013,1.0,10-19,F,circulatorio,trombose_venosa_i80_i82,1
2013,1.0,10-19,F,digestivo,,14
2013,1.0,10-19,F,endocrino_diabetes,,7
2013,1.0,10-19,F,endocrino_diabetes,diabetes_e10_e14,4
2013,1.0,10-19,F,externas,,270
2013,1.0,10-19,F,geniturinario,,12
2013,1.0,10-19,F,infecciosas,,29
2013,1.0,10-19,F,infecciosas,sepse_a40_a41,5
2013,1.0,10-19,F,mal_definidas,,24
2013,1.0,10-19,F,neoplasias,cancer_hematologico_c81_c96,20
2013,1.0,10-19,F,neoplasias,cancer_outros_c00_c97,20
2013,1.0,10-19,F,neoplasias,cancer_pulmao_c34,1
2013,1.0,10-19,F,neuro_mentais,,45
2013,1.0,10-19,F,outras,,61
2013,1.0,10-19,F,respiratorio,,14
2013,1.0,10-19,F,respiratorio,pneumonia_j12_j18,19
2013,1.0,10-19,M,circulatorio,cardiomiopatia_i42_i43,8
2013,1.0,10-19,M,circulatorio,cardiopatia_mal_definida_i51,5
2013,1.0,10-19,M,circulatorio,cerebrovascular_i60_i69,13
2013,1.0,10-19,M,circulatorio,circulatorio_outras,5
2013,1.0,10-19,M,circulatorio,embolia_pulmonar_i26,2
2013,1.0,10-19,M,circulatorio,hipertensao_i10,1
2013,1.0,10-19,M,circulatorio,infarto_agudo_i21_i22,11
2013,1.0,10-19,M,circulatorio,insuf_cardiaca_i50,3
2013,1.0,10-19,M,circulatorio,isquemica_outras_i20_i25,1
2013,1.0,10-19,M,circulatorio,miocardite_i40_i41,1
2013,1.0,10-19,M,circulatorio,parada_arritmia_i46_i49,1
2013,1.0,10-19,M,digestivo,,14
2013,1.0,10-19,M,endocrino_diabetes,,6
2013,1.0,10-19,M,endocrino_diabetes,diabetes_e10_e14,4
2013,1.0,10-19,M,externas,,1452
2013,1.0,10-19,M,geniturinario,,1
2013,1.0,10-19,M,infecciosas,,23
2013,1.0,10-19,M,infecciosas,sepse_a40_a41,9
2013,1.0,10-19,M,mal_definidas,,63
2013,1.0,10-19,M,neoplasias,cancer_hematologico_c81_c96,24
2013,1.0,10-19,M,neoplasias,cancer_outros_c00_c97,52
2013,1.0,10-19,M,neoplasias,cancer_prostata_c61,1
2013,1.0,10-19,M,neoplasias,cancer_pulmao_c34,1
2013,1.0,10-19,M,neoplasias,neoplasia_in_situ_benigna_d00_d48,2
2013,1.0,10-19,M,neuro_mentais,,48
2013,1.0,10-19,M,outras,,34
2013,1.0,10-19,M,respiratorio,,25
2013,1.0,10-19,M,respiratorio,pneumonia_j12_j18,21
2013,1.0,20-29,F,circulatorio,cardiomiopatia_i42_i43,7
2013,1.0,20-29,F,circulatorio,cardiopatia_mal_definida_i51,3
2013,1.0,20-29,F,circulatorio,cerebrovascular_i60_i69,24
2013,1.0,20-29,F,circulatorio,circulatorio_outras,26
2013,1.0,20-29,F,circulatorio,embolia_pulmonar_i26,10
2013,1.0,20-29,F,circulatorio,infarto_agudo_i21_i22,9
2013,1.0,20-29,F,circulatorio,insuf_cardiaca_i50,6
2013,1.0,20-29,F,circulatorio,isquemica_outras_i20_i25,1
2013,1.0,20-29,F,circulatorio,parada_arritmia_i46_i49,7
2013,1.0,20-29,F,circulatorio,trombose_venosa_i80_i82,2
2013,1.0,20-29,F,digestivo,,32
2013,1.0,20-29,F,endocrino_diabetes,,16
2013,1.0,20-29,F,endocrino_diabetes,diabetes_e10_e14,14
2013,1.0,20-29,F,externas,,365
2013,1.0,20-29,F,geniturinario,,12
2013,1.0,20-29,F,infecciosas,,56
2013,1.0,20-29,F,infecciosas,sepse_a40_a41,9
2013,1.0,20-29,F,mal_definidas,,47
2013,1.0,20-29,F,neoplasias,cancer_colorretal_c18_c21,2
2013,1.0,20-29,F,neoplasias,cancer_estomago_c16,4
2013,1.0,20-29,F,neoplasias,cancer_hematologico_c81_c96,25
2013,1.0,20-29,F,neoplasias,cancer_mama_c50,10
2013,1.0,20-29,F,neoplasias,cancer_outros_c00_c97,73
2013,1.0,20-29,F,neoplasias,cancer_pancreas_c25,2
2013,1.0,20-29,F,neoplasias,cancer_pulmao_c34,2
2013,1.0,20-29,F,neoplasias,neoplasia_in_situ_benigna_d00_d48,6
2013,1.0,20-29,F,neuro_mentais,,43
