uf,ano,parada,r_codes,parada_inv,covid,total
52,2019,442.0,828.0,442.0,0.0,41025
51,2024,208.0,1122.0,208.0,91.0,22803
22,2016,52.0,735.0,52.0,0.0,19187
21,2020,197.0,2252.0,197.0,5133.0,43271
22,2020,106.0,1313.0,106.0,2807.0,23646
33,2018,1047.0,10605.0,1047.0,0.0,140706
33,2023,2061.0,11770.0,2061.0,749.0,145148
11,2018,97.0,505.0,97.0,0.0,8165
11,2021,67.0,719.0,67.0,4871.0,14042
11,2023,80.0,692.0,80.0,73.0,9974
42,2021,372.0,1436.0,372.0,14741.0,59898
32,2017,82.0,179.0,82.0,0.0,24112
51,2022,222.0,1036.0,222.0,1186.0,21731
15,2023,273.0,2893.0,273.0,210.0,43780
13,2020,73.0,2777.0,73.0,5920.0,24765
29,2020,592.0,12025.0,592.0,10932.0,107194
29,2016,247.0,12078.0,247.0,0.0,88094
12,2024,52.0,253.0,52.0,23.0,4267
23,2016,256.0,3331.0,256.0,0.0,54276
21,2023,241.0,2097.0,241.0,78.0,38747
31,2019,1474.0,9301.0,1474.0,0.0,141022
31,2022,1724.0,11217.0,1724.0,7269.0,162615
15,2020,249.0,3999.0,249.0,7907.0,51643
26,2021,350.0,4066.0,350.0,12613.0,80717
26,2018,208.0,1852.0,208.0,0.0,62011
21,2018,159.0,1790.0,159.0,0.0,34525
31,2024,1645.0,10618.0,1645.0,681.0,163668
26,2023,393.0,2467.0,393.0,406.0,68527
41,2020,749.0,2054.0,749.0,8719.0,82573
41,2016,498.0,2639.0,498.0,0.0,74740
33,2016,649.0,7915.0,649.0,0.0,141089
33,2020,1102.0,14671.0,1102.0,31927.0,172185
24,2018,92.0,629.0,92.0,0.0,21209
14,2018,15.0,67.0,15.0,0.0,2787
14,2021,20.0,132.0,20.0,1221.0,4306
14,2023,24.0,120.0,24.0,8.0,3311
43,2021,787.0,5050.0,787.0,27227.0,117722
42,2016,199.0,1151.0,199.0,0.0,40270
27,2019,74.0,940.0,74.0,0.0,20287
27,2022,181.0,1487.0,181.0,735.0,23122
27,2024,171.0,1014.0,171.0,43.0,22653
13,2016,53.0,2087.0,53.0,0.0,16799
23,2020,617.0,2953.0,617.0,11848.0,69512
53,2017,62.0,264.0,62.0,0.0,12514
53,2019,89.0,266.0,89.0,0.0,12804
53,2022,124.0,367.0,124.0,727.0,14457
31,2017,814.0,10583.0,814.0,0.0,138118
15,2016,122.0,2903.0,122.0,0.0,38557
21,2021,239.0,2048.0,239.0,7520.0,44654
22,2018,104.0,859.0,104.0,0.0,19983
22,2021,192.0,1290.0,192.0,4488.0,26212
22,2023,158.0,1021.0,158.0,77.0,22529
11,2016,40.0,511.0,40.0,0.0,8344
11,2020,50.0,614.0,50.0,1890.0,10278
